Date,Open,High,Low,Close,Adj Close,Volume
2006-02-16,90.739998,91.019997,90.410004,90.669998,90.669998,0
2006-02-23,90.559998,90.889999,89.849998,90.220001,90.220001,0
2006-03-02,90.220001,90.860001,89.279999,90.620003,90.620003,0
2006-03-09,90.599998,91.160004,89.690002,89.699997,89.699997,0
2006-03-16,89.739998,89.970001,88.849998,89.720001,89.720001,0
2006-03-23,89.769997,90.620003,89.510002,90.250000,90.250000,0
2006-03-30,90.209999,90.400002,88.599998,88.629997,88.629997,0
2006-04-06,88.739998,89.839996,88.440002,89.620003,89.620003,0
2006-04-13,89.570000,89.860001,87.730003,87.790001,87.790001,0
2006-04-20,87.839996,88.529999,87.110001,87.220001,87.220001,0
2006-04-27,87.269997,87.519997,85.480003,85.839996,85.839996,0
2006-05-04,85.910004,86.220001,84.370003,84.500000,84.500000,0
2006-05-11,84.750000,85.279999,83.599998,84.849998,84.849998,0
2006-05-18,84.900002,85.470001,84.239998,84.949997,84.949997,0
2006-05-25,85.029999,85.360001,84.080002,84.720001,84.720001,0
2006-06-01,84.680000,85.269997,83.720001,84.989998,84.989998,0
2006-06-08,84.970001,86.500000,84.919998,86.139999,86.139999,0
2006-06-15,86.050003,86.470001,85.629997,85.779999,85.779999,0
2006-06-22,85.750000,87.050003,85.660004,86.629997,86.629997,0
2006-06-29,86.699997,86.849998,84.889999,85.599998,85.599998,0
2006-07-06,85.610001,86.040001,84.769997,85.910004,85.910004,0
2006-07-13,85.820000,87.330002,85.639999,86.459999,86.459999,0
2006-07-20,86.470001,86.769997,85.809998,85.930000,85.930000,0
2006-07-27,85.879997,86.029999,84.910004,85.050003,85.050003,0
2006-08-03,85.120003,85.389999,84.389999,84.709999,84.709999,0
2006-08-10,84.629997,85.750000,84.419998,84.879997,84.879997,0
2006-08-17,84.889999,85.309998,84.419998,85.129997,85.129997,0
2006-08-24,85.190002,85.550003,84.839996,84.970001,84.970001,0
2006-08-31,84.910004,85.370003,84.720001,85.099998,85.099998,0
2006-09-07,85.080002,86.080002,85.029999,85.870003,85.870003,0
2006-09-14,85.839996,86.169998,85.459999,85.809998,85.809998,0
2006-09-21,85.870003,85.889999,84.910004,85.660004,85.660004,0
2006-09-28,85.669998,86.220001,85.470001,85.839996,85.839996,0
2006-10-05,85.830002,87.209999,85.739998,87.120003,87.120003,0
2006-10-12,87.099998,87.300003,86.669998,86.879997,86.879997,0
2006-10-19,86.870003,86.919998,86.139999,86.379997,86.379997,0
2006-10-26,86.370003,86.379997,85.150002,85.320000,85.320000,0
2006-11-02,85.459999,85.930000,85.099998,85.410004,85.410004,0
2006-11-09,85.480003,85.629997,84.699997,85.339996,85.339996,0
2006-11-16,85.320000,85.699997,84.440002,84.650002,84.650002,0
2006-11-23,84.580002,84.580002,83.050003,83.440002,83.440002,0
2006-11-30,83.510002,83.529999,82.239998,82.769997,82.769997,0
2006-12-07,82.779999,83.669998,82.379997,82.970001,82.970001,0
2006-12-14,83.300003,84.220001,83.129997,83.519997,83.519997,0
2006-12-21,83.489998,84.129997,83.339996,83.940002,83.940002,0
2006-12-28,83.940002,84.040001,83.150002,83.919998,83.919998,0
2007-01-04,83.910004,85.139999,83.839996,85.080002,85.080002,0
2007-01-11,85.059998,85.400002,84.639999,84.980003,84.980003,0
2007-01-18,84.930000,85.260002,84.489998,84.940002,84.940002,0
